Sesso,DataNascita,DataDecesso,EtaDecesso
F,1915-02-09,2011-08-15,96
M,1936-12-02,2006-11-13,69
F,1954-02-12,2015-05-23,61
M,1940-11-07,2019-11-07,78
M,1943-04-23,2019-04-07,75
F,1923-05-18,2001-12-08,78
F,1922-01-02,2006-12-01,84
F,1931-04-04,2000-09-19,69
F,1938-02-09,2017-07-10,79
F,1924-07-02,2017-01-28,92
F,1917-10-05,2005-02-15,87
F,1938-09-15,2015-07-22,76
M,1925-02-17,2003-12-08,78
M,1942-07-23,2015-10-22,73
F,1927-08-04,2020-10-24,93
M,1922-10-09,2014-05-24,91
F,1929-04-25,2017-09-05,88
M,1938-11-24,2001-10-16,62
F,1916-01-29,2009-05-20,93
F,1911-10-07,2010-05-16,98
F,1946-05-18,2017-10-23,71
M,1925-06-11,2003-07-18,78
F,1946-03-20,2002-11-21,56
F,1948-07-10,2004-03-10,55
M,1927-07-07,2001-08-31,74
M,1926-11-12,2008-10-28,81
F,1933-05-27,2017-06-09,84
M,1922-06-10,2000-11-02,78
M,1935-05-14,2017-05-01,81
M,1931-03-27,2013-09-03,82
F,1925-07-21,2014-04-25,88
M,1946-04-16,2009-11-05,63
F,1949-05-25,2017-06-06,68
F,1920-01-07,2006-07-12,86
M,1949-09-17,2014-09-17,65
F,1946-01-05,2020-02-12,74
M,1932-01-26,2004-04-14,72
F,1944-11-09,2001-03-29,56
M,1931-06-15,2010-10-06,79
M,1942-08-10,2006-10-23,64
M,1950-05-21,2017-11-27,67
F,1928-07-11,2020-03-28,91
M,1931-09-01,2019-07-03,87
M,1935-04-22,2013-10-28,78
M,1939-05-08,2001-06-21,62
F,1931-04-14,2017-06-23,86
M,1937-03-26,2012-09-19,75
F,1939-06-08,2011-02-05,71
F,1926-03-01,2001-11-08,75
M,1916-01-06,2007-08-26,91
F,1930-01-08,2020-07-08,90
M,1936-01-21,2014-08-28,78
F,1931-03-14,2012-01-13,80
M,1928-12-28,2017-04-11,88
M,1929-05-07,2003-11-29,74
M,1939-02-08,2015-01-12,75
F,1920-07-31,2014-05-23,93
F,1922-01-21,2009-12-26,87
M,1924-07-20,2012-06-15,87
F,1953-11-06,2007-08-22,53
M,1928-09-09,2018-06-24,89
F,1908-09-10,2000-09-24,92
F,1931-10-15,2012-04-20,80
F,1939-04-22,2004-12-19,65
F,1927-07-02,2020-06-24,92
M,1913-07-14,2001-03-24,87
M,1931-01-30,2020-04-02,89
F,1913-09-27,2005-06-14,91
M,1920-03-03,2000-03-15,80
F,1932-04-17,2013-09-08,81
F,1923-10-04,2015-01-29,91
M,1970-12-31,2011-10-25,40
M,1938-04-16,2013-04-01,74
M,1942-07-07,2008-12-15,66
F,1928-09-24,2009-05-23,80
F,1937-10-13,2005-10-29,68
M,1935-06-29,2012-06-21,76
M,1951-02-19,2012-07-13,61
F,1926-10-07,2010-05-22,83
F,1922-06-22,2011-02-01,88
M,1930-09-12,2005-01-17,74
F,1912-01-08,2013-01-16,101
M,1945-06-14,2012-03-12,66
F,1919-12-26,2000-07-21,80
F,1908-12-31,2000-12-11,91
M,1923-10-16,2004-06-04,80
F,1924-06-28,2009-01-19,84
F,1921-08-28,2003-11-10,82
F,1913-11-01,2011-01-02,97
M,1969-08-27,2016-01-21,46
M,1947-02-15,2008-03-04,61
F,1926-01-27,2005-10-27,79
M,1926-09-20,2006-04-22,79
F,1928-03-03,2008-08-28,80
F,1923-05-02,2006-12-28,83
F,1929-12-25,2009-06-16,79
F,1932-10-11,2020-11-23,88
F,1936-03-05,2003-11-21,67
M,1931-09-09,2000-12-13,69
F,1913-10-23,2004-07-28,90
F,1919-10-14,2009-06-20,89
M,1937-08-04,2019-05-16,81
M,1922-06-19,2000-01-25,77
